,PA702054,PA702052,PA405480,PA267407,PA346,PA2265,PA609245,PA610615,PA334768,PA2317,PA295,PA606171,PA608826,PA2685,PA2048,PA334906,PA605518,PA340432,PA346170,PA605991,PA1991,PA609740,PA608380,PA1193,PA1199,PA1198,PA610195,PA607595,PA606888,PA1579,PA689,PA680,PA1574,PA267278,PA1226,PA330130,PA267479,PA1379,PA344114,PA243,PA394,PA610427,PA267506,PA343493,PA605745,PA334755,PA605694,PA332523,PA2277,PA605349,PA610775,PA335758,PA609691,PA2693,PA332747,PA335999,PA608186,PA223837,PA1362,PA1963,PA1960,PA267886,PA268042,PA2876,PA334116,PA607699,PA605830,PA268048,PA267080,PA1761,PA2960,PA1789,PA608235,PA643069,PA695,PA543,PA606507,PA267260,PA765,PA267266,PA606899,PA345897,PA267469,PA606258,PA606098,PA642684,PA642759,PA2191,PA331990,PA333224,PA607619,PA605076,PA1816,PA336316,PA610594,PA610701,PA1155,PA267378,PA334811,PA609042,PA607919,PA1977,PA1979,PA1770,PA610905,PA268051,PA267075,PA1152,PA608158,PA332796,PA267188,PA267327,PA267457,PA267673,PA267459,PA267695,PA607310,PA267527,PA332950,PA2430,PA332886,PA2503,PA606793,PA332228,PA345619,PA605036,PA608038,PA609520,PA605782,PA1946,PA610002,PA815,PA810,PA2859,PA1496,PA1498,PA609709,PA607892,PA267450,PA1124,PA607256,PA333285,PA1012,PA267200,PA610924,PA331146,PA607090,PA609845,PA343623,PA642910,PA606412,PA267330,PA267336,PA267689,PA335017,PA267680,PA606230,PA331567,PA267534,PA608264,PA267532,PA342935,PA605922,PA334654,PA230,PA2229,PA2083,PA2089,PA610729,PA332305,PA609332,PA609442,PA2713,PA2084,PA1838,PA2155,PA609535,PA1954,PA608920,PA608310,PA605804,PA267091,PA608172,PA1710,PA608778,PA330008,PA267057,PA610936,PA2883,PA335319,PA267835,PA610804,PA267306,PA267233,PA331835,PA642764,PA336439,PA607846,PA2099,PA2098,PA2236,PA332843,PA610481,PA334843,PA259,PA332206,PA2700,PA2707,PA923,PA609016,PA608011,PA608016,PA610125,PA2936,PA230329,PA608785,PA341339,PA331014,PA330546,PA1585,PA1214,PA1032,PA508,PA607509,PA2895,PA267042,PA610830,PA330788,PA267822,PA606745,PA606212,PA266797,PA1459,PA267317,PA606693,PA590031,PA267227,PA267551,PA267556,PA2775,PA605643,PA422119,PA1857,PA2603,PA608574,PA917,PA2600,PA606631,PA344776,PA609314,PA840,PA1931,PA1936,PA605261,PA1020,PA1029,PA608684,PA2952,PA754,PA1592,PA608686,PA267148,PA1206,PA606639,PA609816,PA267813,PA1445,PA331481,PA267499,PA606910,PA266788,PA267492,PA609218,PA609963,PA267965,PA330684,PA267785,PA267762,PA1844,PA2549,PA606924,PA2611,PA856,PA609764,PA336112,PA608363,PA330981,PA609365,PA746,PA336971,PA607632,PA608695,PA608741,PA1695,PA1699,PA606586,PA267151,PA608718,PA1477,PA607187,PA267801,PA266774,PA266776,PA607369,PA642805,PA331582,PA335054,PA605952,PA267797,PA590034,PA267576,PA590032,PA606161,PA331807,PA343408,PA267775,PA687214,PA642739,PA346876,PA331973,PA336576,PA2377,PA2597,PA1871,PA2374,PA1874,PA605069,PA606555,PA333421,PA1911,PA1466,PA2971,PA770,PA345937,PA607769,PA610075,PA267165,PA1689,PA330357,PA609775,PA608641,PA267013,PA642940,PA216574,PA1310,PA606712,PA642836,PA337504,PA607283,PA331594,PA606623,PA267585,PA314,PA267743,PA417099,PA642724,PA267204,PA2295,PA2365,PA333043,PA610681,PA693008,PA1866,PA2631,PA610066,PA609292,PA877,PA609743,PA872,PA334951,PA608434,PA608348,PA609345,PA607761,PA342415,PA672,PA610891,PA695100,PA606495,PA607691,PA1521,PA606149,PA267178,PA267598,PA606363,PA267591,PA607603,PA610203,PA695511,PA606030,PA267355,PA267358,PA609590,PA605606,PA951,PA605131,PA610654,PA1141,PA605426,PA336015,PA331753,PA605557,PA667,PA1790,PA331282,PA608083,PA606573,PA610354,PA608662,PA2828,PA607606,PA1661,PA1401,PA608120,PA330240,PA607395,PA610860,PA610313,PA607155,PA696,PA267923,PA344242,PA607553,PA339,PA335159,PA267728,PA607193,PA331924,PA642987,PA346886,PA606040,PA336421,PA2345,PA2343,PA1886,PA2124,PA942,PA609726,PA605143,PA609435,PA332015,PA588872,PA1263,PA608098,PA608416,PA335543,PA606478,PA332636,PA267605,PA331658,PA267285,PA643020,PA267289,PA643205,PA606545,PA267735,PA605703,PA267429,PA2086,PA332384,PA560,PA642885,PA328,PA610521,PA643002,PA610529,PA605625,PA2338,PA605084,PA2799,PA2792,PA998,PA2796,PA2664,PA2667,PA1748,PA342332,PA610245,PA605888,PA735,PA609205,PA607489,PA2801,PA334149,PA606991,PA1353,PA267706,PA341981,PA606665,PA330118,PA610820,PA356,PA610291,PA610539,PA605758,PA333134,PA2492,PA2250,PA2257,PA608851,PA267246,PA606202,PA610758,PA610752,PA2075,PA2073,PA2675,PA340755,PA2815,PA1630,PA341246,PA605963,PA344492,PA342539,PA1483,PA332614,PA335567,PA1182,PA608292,PA606675,PA610968,PA330613,PA267623,PA1364,PA333818,PA337483,PA267628
PA607632,10,3,8,12,7,12,8,10,13,12,11,10,8,12,8,8,10,10,11,7,12,6,7,11,8,12,12,15,7,11,12,8,6,12,14,12,10,6,12,8,10,14,8,11,12,13,9,7,7,12,10,8,11,9,14,10,17,7,10,11,9,8,11,7,11,13,18,11,7,7,7,11,10,12,11,12,10,8,11,6,11,11,8,14,6,9,7,8,9,7,16,10,11,7,12,11,11,7,10,15,11,14,11,5,12,7,8,6,13,11,13,6,7,8,6,12,12,7,7,11,7,12,12,7,8,7,11,13,8,7,16,8,12,11,11,7,8,11,7,7,14,12,8,7,6,8,7,10,6,11,10,8,11,7,14,8,10,8,10,15,7,8,12,7,7,6,8,7,10,17,11,8,11,6,8,7,12,7,8,12,12,12,13,11,10,8,7,10,11,13,12,6,15,12,10,9,11,5,6,7,8,10,13,7,6,12,6,7,7,15,10,7,7,8,7,11,12,13,12,8,11,9,12,16,12,9,7,5,7,16,8,6,6,9,7,12,7,6,7,9,12,7,6,12,13,7,10,11,7,11,12,8,10,11,7,8,14,7,11,11,13,7,7,10,17,7,8,6,8,10,5,11,12,10,11,7,7,7,12,11,14,10,7,8,14,12,7,9,7,10,33,12,15,7,6,12,7,12,7,11,7,8,5,10,12,8,12,13,7,11,7,12,13,12,11,8,8,10,7,10,7,7,7,12,13,6,13,11,9,10,7,7,11,8,9,12,7,11,13,8,13,7,21,9,7,6,14,11,12,12,14,9,7,6,7,9,6,7,10,11,9,10,13,13,11,12,16,13,11,11,7,10,5,13,12,11,9,7,12,12,7,11,8,7,10,7,7,17,7,10,6,8,10,8,7,11,11,11,12,12,16,11,7,7,12,11,12,12,6,12,11,6,15,8,8,12,16,12,11,7,11,12,14,12,9,7,12,11,11,7,11,15,7,11,12,7,9,7,11,13,10,11,7,12,7,12,6,11,7,14,6,11,7,9,14,7,20,6,8,14,10,11,10,14,14,17,13,16,8,10,8,7,7,7,8,11,13,11,15,9,13,6,8,7,16,12,11,11,15,11,3,14,11,12,9,7,8,7,8,7,9,11,12,12,11,8,6,12,7,7,10,12,7,15,6,10,7,11,9,12,14,12,12,19,12,11,6
PA608695,24,6,19,23,4,21,5,17,22,20,6,39,7,20,5,3,18,22,25,7,23,8,6,24,24,18,24,22,9,20,6,32,4,20,24,27,21,8,28,6,21,10,7,19,8,20,16,10,4,25,7,5,18,18,20,18,12,5,20,22,7,5,20,4,19,24,23,19,6,10,6,21,16,19,22,20,21,4,21,7,18,7,12,16,4,15,9,5,18,6,22,18,18,6,37,21,22,7,18,15,19,29,22,3,27,5,3,3,19,22,23,5,10,7,5,22,30,8,22,20,5,22,19,7,5,7,20,19,5,6,13,20,22,21,19,3,3,22,9,4,20,21,8,7,4,5,5,29,4,20,22,8,25,5,44,5,18,5,19,43,5,7,23,7,9,4,3,3,14,23,23,5,19,5,4,6,31,6,19,21,21,23,24,18,22,7,4,18,19,28,42,5,8,20,21,15,28,3,9,12,5,17,25,5,6,23,5,6,5,20,22,7,6,3,5,32,26,22,26,3,21,17,29,23,21,9,11,5,5,22,4,6,5,4,7,20,6,6,5,7,23,5,8,19,19,9,17,22,5,29,24,4,19,18,4,5,22,5,5,20,24,4,3,20,20,6,5,6,5,14,2,5,23,17,24,7,5,3,25,19,23,20,10,3,22,21,22,4,5,16,12,59,21,8,7,23,2,26,5,22,9,8,8,23,22,11,21,13,8,22,7,22,31,21,23,2,4,19,4,22,5,9,6,20,19,4,38,24,6,26,5,5,42,7,23,20,6,29,26,18,35,6,16,6,6,12,26,19,20,27,29,10,6,5,8,18,8,6,22,19,29,29,24,20,20,24,25,24,20,35,6,26,4,27,24,32,17,7,28,19,6,20,4,6,25,6,10,19,6,19,6,7,19,30,8,22,5,8,24,34,23,20,6,5,40,33,23,32,7,21,27,5,20,16,5,39,8,29,21,5,25,20,22,24,8,3,28,20,23,8,20,23,5,23,44,9,8,8,18,24,21,11,4,19,3,27,5,21,6,25,4,24,11,27,19,8,20,7,3,26,19,26,18,16,26,21,9,16,19,20,4,6,5,6,6,20,21,17,29,24,21,7,5,7,36,20,25,19,39,24,6,24,22,21,26,9,5,5,5,3,6,25,19,20,5,4,6,6,9,6,20,18,6,21,4,19,4,19,22,23,11,20,22,7,19,19,6
PA608741,17,6,16,17,4,21,5,17,20,20,5,18,4,20,5,3,17,17,18,6,20,5,6,18,16,17,20,23,6,19,6,11,4,20,21,18,18,3,21,5,18,10,5,19,6,18,16,5,4,20,7,5,18,17,19,19,11,5,18,21,6,5,18,4,19,20,16,19,6,6,6,18,18,18,20,19,17,4,19,6,18,8,7,16,4,15,6,5,16,6,21,18,18,6,19,22,19,6,18,13,18,20,17,3,20,5,3,3,19,19,20,5,6,7,5,21,20,6,14,17,4,21,14,4,5,6,19,17,5,6,12,14,18,19,18,3,3,19,6,4,19,20,5,6,4,5,5,19,4,18,18,7,18,5,20,5,18,4,18,28,5,7,17,3,5,4,3,3,16,20,19,5,18,5,3,5,22,6,15,20,19,21,20,19,18,3,4,18,18,19,23,4,6,21,17,11,17,3,5,6,5,17,18,4,5,20,5,6,5,18,19,4,5,3,5,21,21,19,19,3,19,16,20,21,18,6,6,5,5,19,3,5,5,4,5,19,6,5,5,3,23,5,5,18,21,6,17,18,5,19,19,4,17,18,4,5,19,5,5,19,19,4,3,18,19,6,5,6,5,11,2,6,23,16,18,5,3,3,19,18,21,17,6,3,19,20,8,4,5,15,15,21,28,6,4,20,2,19,5,19,6,4,4,17,20,7,20,12,5,19,4,18,19,18,19,2,4,17,4,18,5,5,5,20,18,4,21,20,6,18,5,5,19,3,17,20,6,19,23,16,20,5,16,6,6,5,22,19,18,22,20,5,6,5,4,17,4,6,18,19,17,18,20,20,19,20,22,21,19,18,6,18,4,19,21,20,16,6,18,18,6,18,3,6,18,6,6,19,6,18,5,4,18,10,5,19,5,7,19,20,22,19,6,5,20,18,20,20,5,18,20,4,20,16,5,18,9,19,16,5,19,20,19,20,4,3,20,19,19,5,20,18,5,22,21,6,5,4,18,24,17,11,4,19,3,20,5,19,6,25,4,19,6,16,10,5,15,5,3,20,18,22,18,16,21,13,9,16,14,18,4,6,5,6,6,19,21,16,22,19,20,4,5,6,15,20,23,19,22,20,6,22,19,20,17,6,5,5,5,3,6,19,18,21,5,4,6,6,5,6,16,16,5,23,4,19,4,18,16,24,11,20,21,8,18,19,6
PA1695,5,6,6,7,22,6,22,5,6,6,13,7,17,6,24,23,6,8,5,25,7,24,20,4,9,5,6,6,22,6,13,5,20,6,5,6,6,23,7,22,6,3,23,7,11,4,5,22,20,8,16,19,6,6,6,6,3,19,9,6,15,21,6,18,6,7,4,6,23,26,24,5,4,5,8,5,5,19,6,23,6,22,16,4,23,6,22,18,5,21,4,6,6,22,6,6,7,23,5,3,6,8,5,18,6,19,20,17,5,6,9,19,24,19,21,6,6,26,7,6,18,6,5,14,18,21,6,4,19,25,3,5,6,7,6,19,18,6,23,19,6,6,20,24,21,23,20,6,19,7,6,19,6,23,9,19,5,21,6,7,20,21,4,19,26,20,17,18,4,6,6,23,6,20,17,22,9,22,5,6,5,6,6,6,7,25,18,5,6,5,8,12,15,6,4,5,4,19,21,24,15,5,6,22,24,6,22,22,19,5,7,26,16,19,22,11,6,6,5,18,5,5,8,7,6,17,32,20,22,7,17,23,26,18,26,6,25,21,20,19,7,21,23,4,7,22,8,5,23,7,7,21,4,6,21,20,6,20,13,5,7,19,12,7,6,26,18,24,20,3,21,13,6,3,6,27,22,21,7,5,7,5,27,20,7,6,5,20,19,5,7,8,6,37,21,7,18,10,20,6,15,23,22,6,6,21,6,2,21,6,18,6,6,5,5,20,21,4,21,7,20,25,21,6,5,25,10,11,15,5,21,21,8,26,6,6,21,7,6,7,7,23,2,17,23,32,7,7,6,8,8,19,20,20,24,7,25,21,6,6,5,5,7,6,7,7,8,6,9,7,24,6,18,6,6,7,4,14,7,5,22,6,23,21,9,25,24,6,23,9,22,15,5,4,20,7,9,17,6,8,6,7,21,19,6,6,8,6,20,7,6,23,6,5,21,5,1,6,6,21,5,6,8,6,22,17,8,7,7,19,6,5,21,6,10,24,17,22,6,5,6,2,18,6,21,6,19,6,21,6,19,6,26,8,5,18,4,24,18,9,8,8,5,5,10,1,6,5,8,6,20,20,19,21,16,9,8,5,7,7,7,27,26,22,6,7,6,6,8,5,6,11,7,6,5,24,22,21,20,18,20,8,7,6,10,19,14,13,28,21,6,5,25,8,19,5,19,6,9,6,3,6,6,11,7,7,20
PA1699,6,5,4,8,20,4,20,4,4,4,11,4,20,4,21,17,5,4,7,21,4,25,19,5,10,3,4,4,27,4,11,2,18,4,5,4,7,20,7,17,5,3,22,5,10,2,4,24,17,8,13,17,4,4,4,4,3,18,5,4,12,19,3,17,4,4,6,4,19,24,19,6,3,3,5,3,6,22,4,17,5,18,16,3,18,4,22,15,3,18,6,5,4,19,4,4,4,18,3,3,4,8,3,16,3,17,18,16,3,4,7,19,22,16,18,4,4,18,8,7,16,4,6,18,16,18,4,3,16,18,3,8,3,4,4,18,16,3,21,16,3,4,21,19,23,18,18,7,16,5,3,13,7,18,11,19,3,21,4,4,18,18,6,20,28,19,16,16,3,3,4,19,5,18,14,18,6,19,3,4,4,4,5,4,4,23,15,5,4,3,4,10,11,4,3,2,3,18,20,23,13,4,5,17,20,4,19,19,17,4,4,25,13,18,18,8,7,3,4,17,3,4,8,5,4,16,24,17,20,8,16,19,25,17,25,4,20,18,19,19,4,19,24,2,5,22,6,7,19,3,9,18,3,4,17,18,7,21,11,3,4,18,12,7,4,19,15,18,18,6,19,11,4,2,4,26,20,18,4,3,7,3,23,19,9,4,2,16,17,3,6,7,4,21,31,8,16,7,18,3,11,21,24,4,4,14,4,1,18,4,20,4,4,5,4,17,18,3,16,7,18,21,16,4,3,19,4,7,12,6,19,19,4,21,5,4,18,7,4,4,4,18,3,15,18,29,5,4,4,4,8,18,18,18,24,5,23,22,7,4,3,4,7,4,4,4,6,8,4,8,21,7,16,4,5,4,4,12,6,3,20,3,18,19,3,19,23,4,23,4,19,18,4,2,20,4,8,12,3,4,5,5,18,17,4,7,9,7,19,6,7,18,4,4,19,3,1,3,4,19,4,4,4,4,20,16,4,5,4,15,4,4,20,4,6,22,18,21,5,4,6,2,15,4,18,4,17,4,18,5,18,4,31,6,6,18,3,17,18,6,4,8,3,4,5,1,5,3,8,3,17,17,16,18,14,4,4,3,7,4,4,23,18,18,6,4,4,4,5,10,5,7,6,4,6,24,20,18,18,17,17,11,5,4,9,17,12,10,30,18,4,4,19,4,17,4,17,4,9,4,3,4,4,9,6,4,17
PA606586,17,7,16,23,5,20,6,20,19,20,5,18,7,20,6,7,17,18,21,12,21,9,11,24,20,17,20,23,9,20,8,12,5,20,19,19,21,6,27,5,18,11,7,19,6,18,18,10,8,23,7,5,18,18,20,16,11,5,20,20,6,5,18,4,19,20,19,19,6,10,6,21,17,19,24,19,20,4,19,6,18,10,10,16,5,17,9,5,16,8,21,19,18,7,19,19,19,6,18,12,18,22,17,3,19,6,5,4,19,21,20,5,10,8,5,20,19,12,17,25,4,20,17,8,5,6,19,18,5,6,11,18,18,19,18,3,3,21,9,4,21,21,8,6,4,5,6,22,5,18,22,7,21,5,23,5,19,4,18,21,5,7,21,6,9,4,3,3,14,18,19,5,20,5,4,9,25,6,15,20,19,21,21,18,19,7,4,17,19,19,22,4,6,21,18,11,17,3,10,9,5,17,19,4,6,19,5,6,5,19,19,7,5,3,5,22,23,19,20,3,19,17,20,20,18,9,10,5,6,23,3,6,6,4,8,19,7,6,5,6,19,5,9,18,18,9,18,22,6,19,23,4,17,19,4,5,22,5,6,19,20,4,3,21,17,10,6,6,5,13,2,5,20,15,18,7,4,4,19,19,22,17,9,3,23,22,8,4,5,15,12,23,20,7,8,34,2,23,5,19,6,7,7,17,21,7,20,11,6,20,7,18,19,19,20,2,4,18,4,21,5,8,6,20,19,5,20,22,6,21,5,5,20,6,18,20,6,23,21,16,21,8,12,6,6,11,21,20,18,20,24,5,6,5,8,18,13,8,21,19,18,19,23,20,19,20,21,20,19,21,6,22,4,21,21,19,16,6,21,17,6,21,8,6,18,6,9,19,6,18,5,7,17,10,8,19,5,7,20,21,19,19,6,9,22,21,24,23,5,19,25,4,20,18,5,18,8,19,17,5,19,20,19,20,8,4,20,18,19,5,20,18,6,20,21,10,9,12,18,20,20,11,4,19,4,20,5,19,6,22,4,19,10,19,12,8,13,9,3,20,18,22,18,16,22,11,8,15,18,18,4,6,5,9,6,19,19,16,20,18,21,11,6,6,16,20,20,20,21,23,7,19,21,22,21,12,6,5,5,3,6,23,18,20,5,4,6,6,11,6,16,16,6,20,4,18,4,19,20,21,10,20,20,6,17,19,6
PA267151,1,3,2,2,17,2,17,1,1,2,13,1,16,2,17,16,2,2,1,16,2,16,15,3,3,2,2,2,17,2,13,1,15,2,3,3,2,17,2,17,2,2,17,3,12,2,1,16,17,2,13,17,2,2,2,2,2,16,2,2,12,17,2,16,2,2,1,2,17,17,17,2,2,2,3,2,2,16,2,16,2,14,11,1,16,3,17,15,2,16,2,3,2,17,2,2,2,16,2,1,2,2,1,15,1,15,17,14,2,2,2,15,16,12,17,2,2,16,2,2,13,2,2,10,16,16,2,1,16,16,2,1,1,2,2,17,15,2,17,16,2,2,16,18,16,16,16,2,16,2,2,12,1,17,2,16,2,18,2,2,16,16,2,16,17,16,15,16,2,3,2,17,2,15,15,16,2,17,2,2,2,2,2,2,2,18,15,2,2,2,2,10,14,2,0,1,1,14,16,16,12,1,3,14,16,2,16,17,15,1,2,18,12,17,16,2,2,2,1,16,2,1,2,2,2,13,19,15,17,2,15,16,16,17,16,2,18,15,16,17,2,17,16,2,2,17,2,1,16,2,2,18,2,2,18,16,2,16,13,1,2,15,11,2,2,17,15,16,16,2,18,13,2,2,2,17,16,15,2,2,1,2,19,17,1,2,1,16,15,2,7,2,2,18,16,2,22,2,16,1,11,17,17,1,2,13,2,2,15,2,16,2,2,2,1,17,17,1,17,2,16,17,11,2,2,16,2,2,12,2,16,17,2,19,1,2,16,2,2,2,2,17,1,13,16,17,2,2,2,2,2,13,16,15,17,2,15,16,2,2,2,1,2,2,2,2,2,2,2,3,17,2,13,2,2,2,1,9,2,2,17,2,18,16,2,17,17,2,17,2,16,13,1,1,16,2,10,14,2,2,2,3,16,16,2,1,2,2,15,3,2,18,2,1,17,1,1,2,2,17,1,2,2,2,17,16,2,1,2,14,2,1,17,2,2,16,13,15,2,2,2,2,14,2,17,2,16,2,16,2,15,2,17,2,3,14,3,14,17,2,2,2,2,1,2,2,7,2,2,3,17,15,14,16,12,2,1,2,2,2,2,16,16,17,2,2,2,2,2,1,2,2,2,2,1,17,16,16,16,16,16,2,3,2,11,16,9,13,18,16,2,1,17,2,15,1,16,2,2,2,4,2,2,11,3,2,15
PA608718,18,11,16,20,5,22,6,18,18,19,6,23,5,19,6,6,16,21,21,9,20,9,6,22,22,16,19,22,8,20,5,19,4,19,18,20,20,7,25,6,17,18,7,20,5,18,16,9,4,25,7,5,19,18,26,25,21,5,24,29,6,5,19,4,19,22,18,20,6,10,6,20,16,20,23,19,19,5,19,7,19,9,10,16,5,15,8,5,17,6,22,17,19,6,24,19,21,6,17,12,17,26,25,3,19,5,3,3,18,24,21,5,10,9,5,21,19,9,17,24,4,20,16,7,5,6,19,21,5,7,12,19,33,21,19,3,3,20,8,4,20,23,8,6,5,6,5,21,4,18,23,8,26,5,26,5,17,4,18,25,5,7,21,5,10,4,3,3,15,20,20,6,20,5,5,7,30,6,15,19,19,23,24,20,21,8,4,17,19,21,26,4,7,20,17,12,24,4,8,9,6,17,26,5,6,21,5,6,5,23,26,9,8,3,6,26,21,28,21,3,19,18,23,21,20,9,11,5,6,21,4,7,7,4,9,19,8,5,5,6,22,5,8,17,19,8,18,19,6,18,23,5,17,21,6,5,20,5,7,18,21,4,3,21,19,8,5,7,5,15,2,5,21,14,19,8,6,5,34,19,24,17,9,4,21,23,11,5,7,15,12,26,19,10,7,23,2,56,5,19,7,7,10,23,25,10,22,14,8,20,7,18,19,18,19,2,5,21,5,20,5,9,7,19,34,5,27,32,9,20,5,6,36,7,18,19,6,27,22,16,27,5,12,6,6,11,28,32,22,23,33,7,6,5,8,19,10,7,20,19,20,19,22,19,19,22,21,20,20,24,7,21,5,25,26,22,16,7,24,19,6,21,5,6,23,6,10,20,6,19,6,6,18,20,7,21,6,6,20,26,18,18,6,5,24,24,22,23,5,20,21,4,19,17,6,21,9,19,25,5,20,19,23,20,8,3,29,19,22,7,20,20,5,22,32,8,9,10,20,23,19,16,5,19,3,22,5,20,6,23,4,22,11,18,11,7,27,8,3,23,20,23,19,16,27,12,7,16,23,18,4,6,6,6,7,20,20,15,25,19,21,10,6,8,18,20,22,20,26,24,10,21,22,20,25,9,6,5,5,3,6,23,19,19,5,5,6,5,10,6,30,23,8,27,4,18,4,18,20,19,10,19,22,6,18,29,6
PA1477,3,4,5,5,18,5,20,4,4,5,13,4,17,5,20,19,5,5,4,19,5,20,19,3,6,4,5,5,20,5,13,3,19,5,4,5,5,18,5,19,5,3,20,6,11,3,4,20,19,5,14,18,5,5,5,5,3,19,5,5,15,20,4,18,5,5,3,5,20,20,20,4,3,4,6,4,4,17,5,18,5,15,14,3,18,5,20,17,4,21,3,6,5,20,4,5,5,20,4,3,5,5,4,17,4,18,18,16,4,5,5,18,19,15,19,5,5,21,5,5,16,5,4,11,17,19,5,3,18,20,3,4,4,5,5,18,16,4,20,18,4,5,19,20,18,20,19,4,18,4,4,15,4,20,5,19,4,18,5,5,20,19,3,18,20,19,17,18,3,4,5,20,4,19,14,19,5,20,4,5,4,5,5,5,5,18,17,4,5,4,5,10,13,5,2,3,3,17,18,20,14,4,6,18,19,5,19,20,19,4,5,19,12,18,19,5,5,4,4,19,4,3,5,5,5,14,20,18,20,5,16,19,19,18,21,5,20,19,18,18,5,20,19,3,5,20,5,4,21,4,5,18,4,5,18,20,5,19,13,4,5,19,11,5,4,20,17,19,20,3,16,13,5,2,5,20,18,16,5,4,4,4,20,19,4,5,3,18,18,4,7,5,5,20,18,5,16,5,21,4,14,19,19,4,5,15,5,2,18,5,18,5,5,4,4,17,19,3,18,5,20,19,14,5,4,19,5,5,15,4,20,20,5,18,4,5,20,5,5,5,5,19,2,16,19,18,5,5,5,5,5,14,19,19,19,4,20,20,5,5,4,4,5,5,5,5,5,5,5,5,21,5,16,5,5,5,3,13,4,4,20,4,19,20,4,20,21,5,21,5,19,15,4,3,19,5,9,14,4,5,4,6,19,18,5,4,5,5,18,5,5,18,5,4,20,3,1,4,5,20,4,5,5,5,19,17,5,3,5,17,5,4,21,5,5,20,15,17,5,4,4,2,17,5,18,5,18,5,20,5,19,5,20,4,4,18,4,16,17,5,5,5,4,4,5,1,6,4,4,4,18,19,18,19,15,5,4,4,5,5,5,20,19,20,3,5,5,5,5,4,4,5,5,5,3,20,19,20,19,17,18,5,5,5,10,19,13,12,21,20,5,4,18,5,20,4,18,5,4,5,3,5,5,11,6,5,19
PA607187,19,5,17,16,3,20,4,16,20,19,4,20,3,19,4,2,16,21,17,6,20,4,5,17,17,17,20,22,5,18,5,13,3,19,18,20,17,2,21,4,17,9,5,18,7,19,15,6,3,19,6,4,18,16,18,15,10,4,19,18,5,4,18,3,18,20,18,19,5,5,5,18,15,17,19,19,16,4,19,5,19,6,6,15,3,14,5,4,15,5,16,16,17,5,25,18,19,5,17,14,17,20,19,2,20,4,2,2,18,18,19,4,5,6,4,21,19,6,14,16,3,20,13,3,4,5,18,16,4,5,13,15,20,18,18,2,2,19,5,4,19,19,4,5,3,4,4,17,3,20,19,7,18,4,23,4,17,3,18,25,4,6,17,2,4,3,3,2,14,19,21,4,18,4,3,4,22,5,16,19,18,24,22,16,18,2,3,16,17,21,22,3,6,19,16,15,17,3,5,5,4,16,19,3,4,18,4,5,4,18,18,6,6,2,4,25,20,20,20,2,19,17,22,21,19,5,6,5,4,19,2,4,4,3,5,18,5,4,4,2,18,4,4,18,20,5,16,17,5,20,18,3,16,18,4,4,21,4,4,19,19,3,2,17,18,6,4,5,4,10,1,4,18,15,18,4,2,2,21,17,23,18,6,2,18,19,13,3,4,15,11,22,19,6,3,19,1,19,4,34,6,4,3,17,19,7,20,11,5,19,3,20,19,17,17,1,3,18,3,17,5,4,4,19,17,5,19,20,5,17,4,4,24,3,17,19,5,21,19,15,22,4,17,6,5,8,23,18,19,19,20,5,5,4,3,16,3,5,17,18,17,17,19,19,19,19,22,20,19,18,5,20,3,20,21,18,16,5,20,16,5,17,2,5,19,5,5,19,5,17,4,3,19,12,4,20,4,7,19,23,25,18,5,4,23,22,20,19,5,18,20,3,19,15,4,18,9,18,16,4,18,20,21,22,4,2,20,20,21,4,19,20,4,18,24,5,6,3,18,19,16,11,3,18,2,20,4,19,5,19,3,21,5,16,12,4,12,4,2,22,17,20,17,15,23,17,9,15,13,17,3,5,4,5,5,18,20,16,23,20,19,3,4,7,19,19,18,18,23,19,6,22,21,19,19,5,4,4,4,2,5,21,19,19,4,3,5,5,5,5,16,17,4,20,4,20,3,18,16,21,12,19,19,6,17,19,5
